2,2,0.05
2.01,1.9999,0.05
2.02,1.9996,0.05
2.03,1.9991,0.05
2.04,1.9985,0.05
2.05,1.9976,0.05
2.06,1.9966,0.05
2.07,1.9954,0.05
2.08,1.9941,0.05
2.09,1.9926,0.05
2.1,1.991,0.05
2.11,1.9892,0.05
2.12,1.9873,0.05
2.13,1.9853,0.05
2.14,1.9831,0.05
2.15,1.9809,0.05
2.16,1.9785,0.05
2.17,1.976,0.05
2.18,1.9734,0.05
2.19,1.9708,0.05
2.2,1.968,0.05
2.21,1.9652,0.05
2.22,1.9622,0.05
2.23,1.9593,0.05
2.24,1.9562,0.05
2.25,1.9531,0.05
2.26,1.95,0.05
2.27,1.9468,0.05
2.28,1.9436,0.05
2.29,1.9403,0.05
2.3,1.937,0.05
2.31,1.9337,0.05
2.32,1.9304,0.05
2.33,1.927,0.05
2.34,1.9237,0.05
2.35,1.9204,0.05
2.36,1.9171,0.05
2.37,1.9138,0.05
2.38,1.9105,0.05
2.39,1.9072,0.05
2.4,1.904,0.05
2.41,1.9008,0.05
2.42,1.8977,0.05
2.43,1.8946,0.05
2.44,1.8916,0.05
2.45,1.8886,0.05
2.46,1.8857,0.05
2.47,1.8829,0.05
2.48,1.8802,0.05
2.49,1.8775,0.05
2.5,1.875,0.05
2.51,1.8726,0.05
2.52,1.8702,0.05
2.53,1.868,0.05
2.54,1.8659,0.05
2.55,1.8639,0.05
2.56,1.862,0.05
2.57,1.8603,0.05
2.58,1.8587,0.05
2.59,1.8573,0.05
2.6,1.856,0.05
2.61,1.8549,0.05
2.62,1.8539,0.05
2.63,1.8531,0.05
2.64,1.8525,0.05
2.65,1.8521,0.05
2.66,1.8519,0.05
2.67,1.8519,0.05
2.68,1.852,0.05
2.69,1.8524,0.05
2.7,1.853,0.05
2.71,1.8538,0.05
2.72,1.8548,0.05
2.73,1.8561,0.05
2.74,1.8576,0.05
2.75,1.8594,0.05
2.76,1.8614,0.05
2.77,1.8636,0.05
2.78,1.8662,0.05
2.79,1.8689,0.05
2.8,1.872,0.05
2.81,1.8753,0.05
2.82,1.879,0.05
2.83,1.8829,0.05
2.84,1.8871,0.05
2.85,1.8916,0.05
2.86,1.8965,0.05
2.87,1.9016,0.05
2.88,1.9071,0.05
2.89,1.9129,0.05
2.9,1.919,0.05
2.91,1.9255,0.05
2.92,1.9323,0.05
2.93,1.9395,0.05
2.94,1.947,0.05
2.95,1.9549,0.05
2.96,1.9631,0.05
2.97,1.9718,0.05
2.98,1.9808,0.05
2.99,1.9902,0.05
3,2,0.05
